Object,Date,Price,Location,Seller,Image,Link
BEAUTIFUL VINTAGE EGYPTIAN LAPIS LAZULI STONE COLUMN PILLAR WITH HEIROGLYPHICS,,4.20,"Didcot, United Kingdom",antiquiti,https://i.ebayimg.com/images/g/SPsAAOSwWVxepsVv/s-l400.jpg,https://www.ebay.co.uk/itm/BEAUTIFUL-VINTAGE-EGYPTIAN-LAPIS-LAZULI-STONE-COLUMN-PILLAR-WITH-HEIROGLYPHICS/153910852140?hash=item23d5cd3a2c:g:SPsAAOSwWVxepsVv
1930&apos;s Deco Vintage pendant R keyring fob brass trench art craft detector find,,1.99,"Oxford, United Kingdom",fifties-fan-from-oxford,https://i.ebayimg.com/images/g/YY4AAOSwyylerDmE/s-l400.jpg,https://www.ebay.co.uk/itm/1930s-Deco-Vintage-pendant-R-keyring-fob-brass-trench-art-craft-detector-find/283864798790?hash=item4217a91646:g:YY4AAOSwyylerDmE
RARE HUGE PHOENICIAN VOTIVE GLASS AXE HEAD ARTEFACT 300BC SUPER QUALITY (2),,6.50,"Forest Row, East Sussex, United Kingdom",hands_of_history,https://i.ebayimg.com/images/g/YkcAAOSwvFtepsll/s-l400.jpg,https://www.ebay.co.uk/itm/RARE-HUGE-PHOENICIAN-VOTIVE-GLASS-AXE-HEAD-ARTEFACT-300BC-SUPER-QUALITY-2/313065750081?hash=item48e42c3e41:g:YkcAAOSwvFtepsll
Roman Soldier 9th Legion Cold Cast Bronze Figure,,20.00,"Blyth, United Kingdom",oldeeart75,https://i.ebayimg.com/images/g/~HEAAOSw6NNeaM8V/s-l400.jpg,https://www.ebay.co.uk/itm/Roman-Soldier-9th-Legion-Cold-Cast-Bronze-Figure/383457187661?hash=item5947d4574d:g:~HEAAOSw6NNeaM8V
SCARCE CIRCA 2000BC ANCIENT NEAR EASTERN STONE TABLET WITH EARLY FORM OF WRITING,,14.50,"Didcot, United Kingdom",antiquiti,https://i.ebayimg.com/images/g/BYcAAOSw~tteoBLF/s-l400.jpg,https://www.ebay.co.uk/itm/SCARCE-CIRCA-2000BC-ANCIENT-NEAR-EASTERN-STONE-TABLET-WITH-EARLY-FORM-OF-WRITING/153905763402?hash=item23d57f944a:g:BYcAAOSw~tteoBLF
british metal detecting finds,,0.99,"Jersey, United Kingdom",antwag-41,https://i.ebayimg.com/images/g/t98AAOSwMkRerUh7/s-l400.jpg,https://www.ebay.co.uk/itm/british-metal-detecting-finds/392784616312?hash=item5b73c99b78:g:t98AAOSwMkRerUh7
CIRCA 300 - 400 AD ROMAN BRONZE AXE HEAD IMPERIAL USAGE EUROPEAN FINDS,,22.00,"Didcot, United Kingdom",antiquiti,https://i.ebayimg.com/images/g/QZ4AAOSw6lZeoFLc/s-l400.jpg,https://www.ebay.co.uk/itm/CIRCA-300-400-AD-ROMAN-BRONZE-AXE-HEAD-IMPERIAL-USAGE-EUROPEAN-FINDS/153905965478?hash=item23d582a9a6:g:QZ4AAOSw6lZeoFLc
job lot 15 vintage  mix item,,9.99,"London, United Kingdom",ivintage1,https://i.ebayimg.com/images/g/PoYAAOSwHMleAiTM/s-l400.jpg,https://www.ebay.co.uk/itm/job-lot-15-vintage-mix-item/383527657293?hash=item594c079f4d:g:PoYAAOSwHMleAiTM
"Medieval Heraldic Horse Pendant, 13th century",,10.00,"Newton Abbot, United Kingdom",devoncollector24,https://i.ebayimg.com/images/g/1DgAAOSwH69erEdx/s-l400.jpg,https://www.ebay.co.uk/itm/Medieval-Heraldic-Horse-Pendant-13th-century/392783742948?hash=item5b73bc47e4:g:1DgAAOSwH69erEdx
Early West Essex Militia Button,,1.00,"North Antrim Coast, United Kingdom",blueonceagain,https://i.ebayimg.com/images/g/CAAAAOSwxOJerAz4/s-l400.jpg,https://www.ebay.co.uk/itm/Early-West-Essex-Militia-Button/274353166605?hash=item3fe0b9190d:g:CAAAAOSwxOJerAz4
ANCIENT CHINESE HEAVY BRONZE SEAL STAMP WITH RAM ON TOP,,0.99,"Didcot, United Kingdom",antiquiti,https://i.ebayimg.com/images/g/FXgAAOSwsH5epxGs/s-l400.jpg,https://www.ebay.co.uk/itm/ANCIENT-CHINESE-HEAVY-BRONZE-SEAL-STAMP-WITH-RAM-ON-TOP/153911125254?hash=item23d5d16506:g:FXgAAOSwsH5epxGs
Pair of Russian silver enamelled spoons pre revolution 925,,11.50,"Malvern, Worcestershire, United Kingdom",orlandos1948,https://i.ebayimg.com/images/g/qwIAAOSwkoVepfT-/s-l400.jpg,https://www.ebay.co.uk/itm/Pair-of-Russian-silver-enamelled-spoons-pre-revolution-925/114201784203?hash=item1a96f4ef8b:g:qwIAAOSwkoVepfT-
LARGE ANCIENT ROMAN TERRACOTTA STAMP WITH ELEPHANT 1ST CENTURY A.D. (3),,2.20,"Forest Row, East Sussex, United Kingdom",hands_of_history,https://i.ebayimg.com/images/g/T8sAAOSwrkJeptiU/s-l400.jpg,https://www.ebay.co.uk/itm/LARGE-ANCIENT-ROMAN-TERRACOTTA-STAMP-WITH-ELEPHANT-1ST-CENTURY-A-D-3/313065803204?hash=item48e42d0dc4:g:T8sAAOSwrkJeptiU
Wonderful original Letter from 1678 with wax seal,,69.99,"Aberystwyth, United Kingdom",the_little_treasure_house,https://i.ebayimg.com/images/g/MS0AAOSwrphea8Iw/s-l400.jpg,https://www.ebay.co.uk/itm/Wonderful-original-Letter-from-1678-with-wax-seal/223945429991?_trkparms=ispr%3D1&hash=item34243013e7:g:MS0AAOSwrphea8Iw&enc=AQAEAAACYIQvEcHUrT7nmUC3yY5qbPyaBN1nJEDYW8MyypsJPgXKy5QCKmmXtR1khE%2F9fH98lhwJtcD0RVNtzyqtsdcoRaMbe3%2Fl9PYaQNPoyelah%2F382PUvaO%2BnPCe1aEixfUw0G2w0idlv1q5wuoXkEaSbBf0W%2B4UcwgEbkJujoj6%2F83LohcDFantucFlzI5cYkip5T8esvLJiP8pUqKKHcAelfHHOPGAt6f9igCKNLg1J4RSAt0R%2FbIT87b4ypVZ9145XK2eR2YgbIWYrczZZ8bAgD9yhZr6nyTOXvkjSeh9fJXGuTRIRw13dj%2Bv8AMIu2iJcpISuTw7AxxqHfOwr2NtMQcWA4BwyEvJm7Xd8QFnbEiWzUixmmI5CFHZLa68UpQaBlIUzhqeGXXTjh5FMTywWI7XAnA2eolnANdIf1CmyRuOOIy72EKLCmhxl%2BUVfdAaEc6Alq2oICAFinh5aXaSznrb6ooCwDS4hU6dJKgKKv5NqKL%2B57%2FLk2UIosDNIWnZD1jVJyyS2TSprmY%2FI43EgCcOFDJToZs7DqGy9dIrTI%2FUHV3HloMp183mA5oGnsDuRtcRQ9spvWIZ%2BKvPC3HjyBIJGzxQ78tYnqG5%2BGDju%2FCfCMaje4TPggR4ID%2FuGyj9y3RKVoya04l6%2FM%2B0GzIprD1w7C4%2B6E5H%2BK1R4Q1ZPQbNiUkoV%2FgWrNW%2BkCAG4yAJq%2BvPxe3dWCBsaxDyTNwfHZmfb5%2BwZ2TnW6XxYn39m61ThxeQ1NPzJZ8GZzjMbx57aCxp0MxtZbHrSfWbft00s%2FgbQhXO66eWOvxheJr0uW85%2F&checksum=223945429991f6ea62303b00421d829f9f8da11c305a
metal detecting finds,,18.00,"Mansfield, United Kingdom",russelljack1972,https://i.ebayimg.com/images/g/iqkAAOSwyp5elKDe/s-l400.jpg,https://www.ebay.co.uk/itm/metal-detecting-finds/264698852451?_trkparms=ispr%3D1&hash=item3da147f463:g:iqkAAOSwyp5elKDe&enc=AQAEAAACYIQvEcHUrT7nmUC3yY5qbPyaBN1nJEDYW8MyypsJPgXKbpGVenk0QxwqJ7mBcQFMDy2xFRWzglGCkcJ4IuxMuMoWzgcGpY8I9rCYcrWblxyg7scir6RmG6MEYapIXyXdIzODh8RjenhO8BGnQw7qjYv%2BMYY2DmVXV4yZXG28BVtBrSZFvGCOaBlGFIbhf8hGkzzIhTaHQEF2y7awz2kSs%2Fax0O4zAm%2BYe%2B5SRDYTueazRfncK6acb6fb%2BVIfHW5ygb4%2B0r4lOxy65xK35zMJBKllVkkI3kp4dxm33O8k%2F0gzLIiXrS1t5cYggZ5kdFE9b0Lxm1CTSXtgEWMNFNIN0hD30fdnjc0XOa1G9eKsFWckceKoV3BhaY%2B6v3sc%2BUqI9NE8ThEIUlnRPYOzuRD0T1pwfPDE42ZOEVEi5k90LByiI5QkKL3OdvrkeuHdCUDMk6xzzBw%2BQnPwe09kB4YDiWcu1IXlt58ToAyA91aOYn6MhTUNafdenCxz967fpH7bk3tsNcM3reAgwhPnrtqURg0b48a0sGJU7Ftx8Nf4maf0EhLRrEy9eMHjGn0lyU5rE8eoL20B%2FbSTLXY1Kv3vdMy1jlC5TKzKPa0ftnIjuNkI3Rv%2F8i%2FXCqUhIYvUcTtjUvJe0Rc0XRo1zG3cq8iunVrU7JBYDrfAXEJqYzGqO3x0cKGWEKyZyTV%2BlyCoXfXWngx1U5P4ZVXO13hXI7s6Cf3q5kJ2bp4e4poBbqUqOR5ImXx4%2FKtZ3govhMWLHkWvQYg2ZzXzHeNeDsyQQKq3jTHl%2FKJ1rIXp1NcACh8KgrmK&checksum=264698852451f6ea62303b00421d829f9f8da11c305a
british metal detecting finds,,3.50,"Jersey, United Kingdom",antwag-41,https://i.ebayimg.com/images/g/gxcAAOSwuyterUfW/s-l400.jpg,https://www.ebay.co.uk/itm/british-metal-detecting-finds/392784615578?hash=item5b73c9989a:g:gxcAAOSwuyterUfW
BEAUTIFUL OLD SILVER AND GOLD GILT AMULET WITH CARNELIAN STONE WEARABLE,,2.20,"Didcot, United Kingdom",antiquiti,https://i.ebayimg.com/images/g/JIwAAOSwZrRepwm4/s-l400.jpg,https://www.ebay.co.uk/itm/BEAUTIFUL-OLD-SILVER-AND-GOLD-GILT-AMULET-WITH-CARNELIAN-STONE-WEARABLE/153911095200?hash=item23d5d0efa0:g:JIwAAOSwZrRepwm4
"STUNNING EXTREMELY RARE ANCIENT ROMAN SILVER RING SEAL LEGIONARY 6,4 GR 18,5 MM",,16.00,"Wisbech, United Kingdom",ancientearth2006,https://i.ebayimg.com/images/g/sIwAAOSwUAVep69e/s-l400.jpg,https://www.ebay.co.uk/itm/STUNNING-EXTREMELY-RARE-ANCIENT-ROMAN-SILVER-RING-SEAL-LEGIONARY-6-4-GR-18-5-MM/254581871842?hash=item3b464314e2:g:sIwAAOSwUAVep69e
RARE ANCIENT ROMAN SILVER MILITARY LEG RING CIRCA. 100AD,,9.99,"Manchester, United Kingdom",profiwall,https://i.ebayimg.com/images/g/WSMAAOSwGIZeqG1l/s-l400.jpg,https://www.ebay.co.uk/itm/RARE-ANCIENT-ROMAN-SILVER-MILITARY-LEG-RING-CIRCA-100AD/133397430047?hash=item1f0f1b3f1f:g:WSMAAOSwGIZeqG1l
7 Rune&apos;s ?,,0.99,"Rhyl, United Kingdom",blackmuuma,https://i.ebayimg.com/images/g/drAAAOSwC4xeqFtE/s-l400.jpg,https://www.ebay.co.uk/itm/7-Runes/383529214545?hash=item594c1f6251:g:drAAAOSwC4xeqFtE
antique Chinese calligraphy ding guanpeng paintings,,129.99,"Tunbridge Wells , United Kingdom",justwonthebid,https://i.ebayimg.com/images/g/aFcAAOSwcpVee6QF/s-l400.jpg,https://www.ebay.co.uk/itm/antique-Chinese-calligraphy-ding-guanpeng-paintings/153915937754?hash=item23d61ad3da:g:aFcAAOSwcpVee6QF
3 Old Beads,,4.99,"b""Bishops Stortford, United Kingdom""",del550,https://i.ebayimg.com/images/g/KXAAAOSwGXZepEXh/s-l400.jpg,https://www.ebay.co.uk/itm/3-Old-Beads/202975284204?hash=item2f42450bec:g:KXAAAOSwGXZepEXh
6645\tCatholic bronze medallion with saints,,0.99,"London, United Kingdom",petronius_2008,https://i.ebayimg.com/images/g/FRcAAOSwE3NeqHOS/s-l400.jpg,https://www.ebay.co.uk/itm/6645-Catholic-bronze-medallion-with-saints/184271249515?hash=item2ae76c206b:g:FRcAAOSwE3NeqHOS
ANCIENT CHINESE TANG DYNASTY JADE CARVED AMULET IN THE FORM OF A DRAGON,,43.10,"Didcot, United Kingdom",antiquiti,https://i.ebayimg.com/images/g/OVQAAOSwkMNepVG1/s-l400.jpg,https://www.ebay.co.uk/itm/ANCIENT-CHINESE-TANG-DYNASTY-JADE-CARVED-AMULET-IN-THE-FORM-OF-A-DRAGON/153909685177?hash=item23d5bb6bb9:g:OVQAAOSwkMNepVG1
Decorated Bone Artefact - Field Walking Find,,4.99,"Nottingham, Nottinghamshire, United Kingdom",nottscollectables51,https://i.ebayimg.com/images/g/wAAAAOSwvqdepFNN/s-l400.jpg,https://www.ebay.co.uk/itm/Decorated-Bone-Artefact-Field-Walking-Find/174261750341?hash=item2892cf4a45:g:wAAAAOSwvqdepFNN
MUSEUM QUALITY VERY RARE ANCIENT ROMAN MAMMOTH B0NE COMB 350 BC 58 GR 90 MM,,47.00,"Wisbech, United Kingdom",ancientearth2006,https://i.ebayimg.com/images/g/dIAAAOSw9PNepq8D/s-l400.jpg,https://www.ebay.co.uk/itm/MUSEUM-QUALITY-VERY-RARE-ANCIENT-ROMAN-MAMMOTH-B0NE-COMB-350-BC-58-GR-90-MM/254581160807?hash=item3b46383b67:g:dIAAAOSw9PNepq8D
RARE ANCIENT NEAR EASTERN CLAY TABLET WITH EARLY FORM OF WRITING C. 2000-3000B.C,,10.50,"Forest Row, East Sussex, United Kingdom",hands_of_history,https://i.ebayimg.com/images/g/v3kAAOSwIWxepuSp/s-l400.jpg,https://www.ebay.co.uk/itm/RARE-ANCIENT-NEAR-EASTERN-CLAY-TABLET-WITH-EARLY-FORM-OF-WRITING-C-2000-3000B-C/313065830284?hash=item48e42d778c:g:v3kAAOSwIWxepuSp
VERY RARE PHOENICIAN LARGE GLASS BIRD BEAD 300BC SUPER QUALITY (3),,5.00,"Forest Row, East Sussex, United Kingdom",hands_of_history,https://i.ebayimg.com/images/g/reMAAOSwel1eptoU/s-l400.jpg,https://www.ebay.co.uk/itm/VERY-RARE-PHOENICIAN-LARGE-GLASS-BIRD-BEAD-300BC-SUPER-QUALITY-3/313065806673?hash=item48e42d1b51:g:reMAAOSwel1eptoU
ANCIENT ROMAN BRONZE OBJECT WITH CAPTIVE HANDLE HIGH STATUS COMPLETE,,99.00,"Lowestoft, United Kingdom",danny1970000,https://i.ebayimg.com/images/g/HEYAAOSwCr9eqdwC/s-l400.jpg,https://www.ebay.co.uk/itm/ANCIENT-ROMAN-BRONZE-OBJECT-WITH-CAPTIVE-HANDLE-HIGH-STATUS-COMPLETE/264715572310?hash=item3da2471456:g:HEYAAOSwCr9eqdwC
"Ancient Roman complete casket junction, North Oxfordshire find, 1st century ad",,110.60,"didcot, Oxfordshire, United Kingdom",art_from_antiquityy,https://i.ebayimg.com/images/g/3bAAAOSwpeFebrZq/s-l400.jpg,https://www.ebay.co.uk/itm/Ancient-Roman-complete-casket-junction-North-Oxfordshire-find-1st-century-ad/353006579407?_trkparms=ispr%3D1&hash=item5230d4eecf:g:3bAAAOSwpeFebrZq&enc=AQAEAAACYIQvEcHUrT7nmUC3yY5qbPyaBN1nJEDYW8MyypsJPgXKVSUO5rLpLbvuHeymugu80mhvv9oC7zqgn1YuI8oMo%2BEqYnNNw9nweI7hACme4F9SChvalNETxxvDezEvucN52GKNd30cjIGAhQ4V%2BsaunmkbBncEBn2j0iv6gAivllAhJSKyNEw8OFwI9C4Cwd28aFDwSqUS0NwRX2NXVm5TC6x8Sld%2Fkj20gmaLzRNvX5%2ByBfPdw6R1oCSToqRtneWHTsdonLm7H1UipXNAyizEKB1fa0ns3jE7Wq8owl2WwnJhWFEZoZZ%2Fz7S9d4sGlm2%2FSKlMQR38rH4uBaBcnuMRTThfdwooojqE56sC9TdeU144xrG6m1pv5pENk54adQaHrnn8oxla743XaYjO5lOLfu5XebF55A5dYOD46w2Zl43%2FZ9nZGQoE%2F2yzh5iUh50pO9tf0OtXYqXc%2FWYZY9wxX%2BKzusawbB30lqGDqJlhVo66qNOyJmKbYiRlit%2FBjtne8w7IXG8ayVqi2mgBGrLyqIHbebEihvwPqr5MsKqReeXiK2W9SMRGuwzCF%2FemjAgAbQa0AME0XDYnMuy417JRlB5eJBlLO7sxVjphmLsdKGV47%2BDPwslAK6PwnNujjmUJLOU9KrlGvxBcr6Gv09DnuTDqrojHsATWJZrQ3%2BS4Q1QrYHaQ%2BtNqgAR88KwOpYyp%2BnDoV13%2Bqho%2BPIcI2n52uZz%2FxNzhjNliXvdwlQFVvV45Ubse9NJxHBP2zzz5hNLxVcpC3MV8V%2BG8X3CCzRcfc3i%2BbEDHhy9jBNRmXDrY3qLW&checksum=3530065794076174c9e0348646f1b5f7b19fe525f766
BEAUTIFUL ANCIENT ANGLO SAXON SILVER RING,,159.00,"Evesham, United Kingdom",svistoy-26,https://i.ebayimg.com/images/g/IRgAAOSwu1dehfZk/s-l400.jpg,https://www.ebay.co.uk/itm/BEAUTIFUL-ANCIENT-ANGLO-SAXON-SILVER-RING/313044749537?_trkparms=ispr%3D1&hash=item48e2ebcce1:g:IRgAAOSwu1dehfZk&enc=AQAEAAACYIQvEcHUrT7nmUC3yY5qbPyaBN1nJEDYW8MyypsJPgXK9t7xxMj3q%2B%2B%2Bz%2BPuf4iZrclGE6VIMIpts%2BVQhb2gk7YQsWRt0NWLHqFj3h5VcrO8iX6D5wZEmyKHGuvM9xsMiTdUnWFfCZYtRZWXj7nV%2B8XBzJzBfYzWPlLcfWwEvGh%2BNv%2BggvW9NJP%2BAhQbVUXN31JwWSx6lQhcV9kGeAwUvxC40EnfM%2BLQTlSuTwojWO0InjFMxKDC0HUW%2B3bpiaEHZRnr22X7n9kzaiaexDmX6jeKb6%2BdWMZQ%2BkgqUH5jB%2FYSNBH5mqCFdoXZ2b8tbUCYmUN7Hp0RWjxODgSTSjevragL7eJfAPrt8HtLBk%2BR3wF2yXBN8uM8hCXpQsGxbmEeDWN%2BqqmlkT6Hjm7aDX0Mj9uWUpQwNzSdtNUolIScfSIn%2BfrzugrAxNLSJ44Me%2FrWM20EVU8j56MiIfrDC0ubya38qfz8gDLxTZuQC76SV9Hf%2B09%2BwQHpb6bJnvonTj062nE15HbCudjor%2BJXeg4U0%2FzGmw8OG%2FzmoWz3nOXPqpdqptSsKePH4PABYWINisQAU6kNod5YzquX6OCeX8PrXoCZM8wDKG47mUipPYI3Gkl8owDlhWaqUmZpis5%2BAtfzNZvhNeYx0w3aNycspzpTlw8esIDrElJeaXw5u5SABWMY%2Fje0UmGJvTEPYYIFdM%2B578af3ukDeRjXR5NaXSPpz0e5jVAdNun16ehO02vdUdiOfGsxfWJ4lpD5LNArVYYkhSuDWV%2B9ovEFUJJv%2Fs5pcbfS78tv3jEPJMAHGEfDexeP&checksum=3130447495376174c9e0348646f1b5f7b19fe525f766
HAND AXE FLINT HARRISON OF IGHTHAM,,34.00,"Sevenoaks, United Kingdom",davidb2343,https://i.ebayimg.com/images/g/0~MAAOSwKsRegb84/s-l400.jpg,https://www.ebay.co.uk/itm/HAND-AXE-FLINT-HARRISON-OF-IGHTHAM/164173995375?hash=item2639885d6f:g:0~MAAOSwKsRegb84
19th Century Antique Stoneware Stone Ware  Brown Mug,,5.50,"Newark, United Kingdom",castlefield*,https://i.ebayimg.com/images/g/8EcAAOSwPi9epG8s/s-l400.jpg,https://www.ebay.co.uk/itm/19th-Century-Antique-Stoneware-Stone-Ware-Brown-Mug/324148359021?hash=item4b78bf6f6d:g:8EcAAOSwPi9epG8s
Walter,,100.00,"Stamford, United Kingdom",olcox0,https://i.ebayimg.com/images/g/8VQAAOSwygFepCs7/s-l400.jpg,https://www.ebay.co.uk/itm/Walter/392776141301?hash=item5b734849f5:g:8VQAAOSwygFepCs7
Nice Medieval Bronze Seal,,110.00,"b""Bishops Stortford, United Kingdom""",del550,https://i.ebayimg.com/images/g/brMAAOSwC9ReqsGn/s-l400.jpg,https://www.ebay.co.uk/itm/Nice-Medieval-Bronze-Seal/202979123006?hash=item2f427f9f3e:g:brMAAOSwC9ReqsGn
RARE ANCIENT NEAR EASTERN LAPIS LAZULI TABLET FRAGMENT WITH EARLY FORM OF WRITIN,,10.50,"Didcot, United Kingdom",antiquiti,https://i.ebayimg.com/images/g/xPYAAOSwxfhepw8s/s-l400.jpg,https://www.ebay.co.uk/itm/RARE-ANCIENT-NEAR-EASTERN-LAPIS-LAZULI-TABLET-FRAGMENT-WITH-EARLY-FORM-OF-WRITIN/153911116009?hash=item23d5d140e9:g:xPYAAOSwxfhepw8s
VERY RARE LOT OF 5X PHOENICIAN BEAD SEALS 300BC SUPER QUALITY (2),,4.20,"Forest Row, East Sussex, United Kingdom",hands_of_history,https://i.ebayimg.com/images/g/MFsAAOSwbEReps0S/s-l400.jpg,https://www.ebay.co.uk/itm/VERY-RARE-LOT-OF-5X-PHOENICIAN-BEAD-SEALS-300BC-SUPER-QUALITY-2/313065763351?hash=item48e42c7217:g:MFsAAOSwbEReps0S
VERY RARE ANCIENT BYZANTINE CRUSADER&apos;S AMULET XII CENTURY,,19.00,"Evesham, United Kingdom",svistoy-26,https://i.ebayimg.com/images/g/~QYAAOSwFG1elag7/s-l400.jpg,https://www.ebay.co.uk/itm/VERY-RARE-ANCIENT-BYZANTINE-CRUSADERS-AMULET-XII-CENTURY/313053955246?_trkparms=ispr%3D1&hash=item48e37844ae:g:~QYAAOSwFG1elag7&enc=AQAEAAACYIQvEcHUrT7nmUC3yY5qbPyaBN1nJEDYW8MyypsJPgXK9t7xxMj3q%2B%2B%2Bz%2BPuf4iZrTSLEnyrfvZF0Jfk9zowgz1y4cuELetnIb%2F%2BuatLIKpfwdoUY2hNoXcAfZoLugHG06zSBTdEixnbKgKI1oL3cPRWpuZLLmSzEB%2BQtogQLe3YwLIkp1ToDsUYRAbdFZ8C4%2Bic8Sut6HvrW2BIe0vPOKNntaaKifsvjwKJi0hVEf6ZVDRRQ6fSppIfpQxo8MbbnTpCa9QMmN1vxqowDecbiMB4tmdzhnEIvzBAv%2F1gGFK%2BD7DS1VsiCXMisvC1cdYrbbyBjPOYNNbAjVDEZd8zNN9HfFuBtkDD5PUPy9tcQP5mLchg5p1YeXGj70o4uDzbrFZCo458qehmf1auX4qDrA17IjKPZ9iEazT7COoOMpAR5r1DoJjntJzt5SKWJkEHRoxdLWAwSBDbDA3NaGW6JsQWBjiDJtZyiJeSjpEOAjaK2d7erh9u7J1VM%2FuJqV8weVdstQ23E9vD6%2BkYXq%2BoxHvrJqla52gaR6ti5IK5E79NxqnBr8Cc6jUPaP4v%2BuZ2HAQV8lDVvoSMwKXkP%2Fse09As17dEsVJjOH3X5u0cdmYSUrrRtebXVLxqE1xrkC%2FMarlp9Ur10OKaIBBCQuA5IphdZ2vNWuPn5kSf7TJhVz%2B9ASjfT8TPIEZwBIj80Ep0p62BgPUFUkihwG6qGjpAHhtS6NFT2TNxKZEOPXbkk4EpzV%2FsqK2I%2BA2MDnvzXEENc9RVQndg0p2vik%2F%2BVbvwLxrpx0tcRVTcBH02MCougBL1&checksum=3130539552466174c9e0348646f1b5f7b19fe525f766
Ancient Medieval Period 12th 13th C Bronze Cross pendant Crucifix Jesus,,36.00,"tamworth, United Kingdom",britishvintageboutique1,https://i.ebayimg.com/images/g/yfcAAOSwebVerDqr/s-l400.jpg,https://www.ebay.co.uk/itm/Ancient-Medieval-Period-12th-13th-C-Bronze-Cross-pendant-Crucifix-Jesus/303556408738?hash=item46ad5f35a2:g:yfcAAOSwebVerDqr
CIRCA 200 - 300 AD ANCIENT ROMAN GLASS IRIDESCENT MEDICINE BOTTLE,,9.30,"Didcot, United Kingdom",antiquiti,https://i.ebayimg.com/images/g/WfwAAOSwhe1epwOj/s-l400.jpg,https://www.ebay.co.uk/itm/CIRCA-200-300-AD-ANCIENT-ROMAN-GLASS-IRIDESCENT-MEDICINE-BOTTLE/153911074495?hash=item23d5d09ebf:g:WfwAAOSwhe1epwOj
Roman Redware Pot  Strainer 4th Century,,75.00,"craven arms, United Kingdom",solocoins,https://i.ebayimg.com/images/g/JMIAAOSwvWZeqVmk/s-l400.jpg,https://www.ebay.co.uk/itm/Roman-Redware-Pot-Strainer-4th-Century/233573880689?hash=item3662169371:g:JMIAAOSwvWZeqVmk
ANCIENT SAXON SILVER HAIR OR GARMENT PIN WITH STONE INSERT,,0.99,"Didcot, United Kingdom",antiquiti,https://i.ebayimg.com/images/g/spYAAOSwj7hepWch/s-l400.jpg,https://www.ebay.co.uk/itm/ANCIENT-SAXON-SILVER-HAIR-OR-GARMENT-PIN-WITH-STONE-INSERT/153909767937?hash=item23d5bcaf01:g:spYAAOSwj7hepWch
Small Lot Of Ancient Bronze And Alloy Items.,,25.00,"North Antrim Coast, United Kingdom",blueonceagain,https://i.ebayimg.com/images/g/r5cAAOSw-5peqXnD/s-l400.jpg,https://www.ebay.co.uk/itm/Small-Lot-Of-Ancient-Bronze-And-Alloy-Items/274351138244?hash=item3fe09a25c4:g:r5cAAOSw-5peqXnD
"SUPERB  ANCIENT ROMAN BRONZE EAGLE STATUE  31,8 GR 42 MM",,0.99,"Wisbech, United Kingdom",ancientearth2006,https://i.ebayimg.com/images/g/RUIAAOSwVCJeposJ/s-l400.jpg,https://www.ebay.co.uk/itm/SUPERB-ANCIENT-ROMAN-BRONZE-EAGLE-STATUE-31-8-GR-42-MM/254581084546?hash=item3b46371182:g:RUIAAOSwVCJeposJ
CIRCA 3000 BCE NEAR EASTERN CLAY TABLET WITH EARLY FORM OF WRITING RARE,,2.20,"Didcot, United Kingdom",antiquiti,https://i.ebayimg.com/images/g/3moAAOSwn3depwkX/s-l400.jpg,https://www.ebay.co.uk/itm/CIRCA-3000-BCE-NEAR-EASTERN-CLAY-TABLET-WITH-EARLY-FORM-OF-WRITING-RARE/153911093024?hash=item23d5d0e720:g:3moAAOSwn3depwkX
Vintage penny token / coin Dated 1814 Birmingham Workhouse detecting detector,,3.20,"Pontefract, West Yorkshire, United Kingdom",craig20050,https://i.ebayimg.com/images/g/eEcAAOSw6Qxelu69/s-l400.jpg,https://www.ebay.co.uk/itm/Vintage-penny-token-coin-Dated-1814-Birmingham-Workhouse-detecting-detector/373021837461?hash=item56d9d58895:g:eEcAAOSw6Qxelu69
ANCIENT EGYPTIAN HIEROGLYPHIC SHABTI (4),,2.20,"Forest Row, East Sussex, United Kingdom",hands_of_history,https://i.ebayimg.com/images/g/DHkAAOSwtLtept5B/s-l400.jpg,https://www.ebay.co.uk/itm/ANCIENT-EGYPTIAN-HIEROGLYPHIC-SHABTI-4/313065812792?hash=item48e42d3338:g:DHkAAOSwtLtept5B
ANCIENT GREEK INTAGLIO CARNELIAN STONE SEAL WITH BUST - CIRCA. 400-200 BCE,,10.50,"Beccles, United Kingdom",ancienthistoryltd,https://i.ebayimg.com/images/g/RWsAAOSwMmheoE-e/s-l400.jpg,https://www.ebay.co.uk/itm/ANCIENT-GREEK-INTAGLIO-CARNELIAN-STONE-SEAL-WITH-BUST-CIRCA-400-200-BCE/274345365598?hash=item3fe042105e:g:RWsAAOSwMmheoE-e
DETECTOR FINDS ANCIENT VIKING SILVERED TRISKELE PENDANT WITH FOUR RAVEN HEADS,,13.50,"Didcot, United Kingdom",antiquiti,https://i.ebayimg.com/images/g/-s8AAOSwO6xeqAQc/s-l400.jpg,https://www.ebay.co.uk/itm/DETECTOR-FINDS-ANCIENT-VIKING-SILVERED-TRISKELE-PENDANT-WITH-FOUR-RAVEN-HEADS/153911818601?hash=item23d5dbf969:g:-s8AAOSwO6xeqAQc
